ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1217,PRACTICAS DE TOPOGRAFIA II,5,2.5,,1
1218,TOPOGRAFIA II,9,4.5,,1
1220,ALGEBRA LINEAL,8,4,,1
1221,CALCULO INTEGRAL,8,4,,1
1222,CULTURA Y COMUNICACION,2,1,,1
1223,ESTATICA,8,4,,1
1224,INTRODUC A LA ING SISTEMAS BIOMEDICO,2,1,,1
1225,MANUFACTURA I,8,4,,1
1227,ESTRUCTURA DATOS Y ALGORITMOS I,10,5,,1
1228,MECANICA,12,6,,1
1229,GEOMATICA BASICA,9,4.5,,1
126,DISEÑO DE HERRAMENTAL,10,5,,1
129,DINAMICA DE SISTEMAS FISICOS,8,4,,1
12,ADMINISTRACION,6,3,,1
1306,ECUACIONES DIFERENCIALES,9,4.5,,1
130,DISEÑO ELEMENTOS DE MAQUINA,8,4,,1
1311,FOTOGRAMETRIA I,12,6,,1
1312,PROGRAMACION AVANZADA METDOS.NUMER,8,4,,1
1313,SISTEMAS DE COORDENADAS,6,3,,1
1314,PRINCIPIOS TERMODINAMICA ELECTRO MA,11,5.5,,1
1316,GEOLOGIA EXPLOTC. PETROL. AGUA VAPOR,10,5,,1
1317,ESTRUCTURA DATOS Y ALGORITMOS II,10,5,,1
1318,PRESUPUESTACION DE OBRAS,9,4.5,,1
1319,GEOMETRIA DESCRIPTIVA APLICADA,6,3,,1
1320,BIOQUIMICA,8,4,,1
1321,CALCULO VECTORIAL,8,4,,1
1322,CINEMATICA Y DINAMICA,8,4,,1
1323,PROGRAMACION ORIENTADA A OBJETOS,10,5,,1
1325,ECUACIONES DIFERENCIALES,8,4,,1
1327,GEOLOGIA FISICA,9,4.5,,1
1328,FISICA,10,5,,1
1329,PALEONTOLOGIA GENERAL,6,3,,1
1330,FUNDAM TERMODINAMICA ELECTROMAGNET,10,5,,1
1331,GEOLOGIA DE YACIMIENTOS DE FLUIDOS,8,4,,1
1332,MODELOS DE PROGRAMACION ORIENT.OBJET,6,3,,1
1333,SISTEMAS TERMODIN-ELECTROMAGNETISMO,8,4,,1
1334,FOTOGRAMETRIA,12,6,,1
138,DISPOSITIVOS ELECTRONICOS,10,5,,1
1402,HIDRAULICA BASICA,9,4.5,,1
1407,RECURSOS DE LA CONSTRUCCION,6,3,,1
1408,SISTEMAS ELECTROMECANICOS,8,4,,1
1409,TERMOFLUIDOS,10,5,,1
1413,INTRODUCCION A LA ECONOMIA,8,4,,1
1414,ELECTRICIDAD Y MAGNETISMO,10,5,,1
1416,TEM.SEL.FILOSOFIA CIEN-TECN.,6,3,,1
1417,FUNDAMENTOS DE GEODESIA,12,6,,1
1418,ANALISIS DE SISTEMAS Y SEÑALES,9,4.5,,1
1419,ENERGIA E IMPACTO AMBIENTAL,6,3,,1
141,EXPLORACION GEOQUIMICA MIN,6,3,,1
1420,LITERATURA HISPANOAMERICANA CONTEM,6,3,,1
1421,FISICA DE SEMICONDUCTORES,6,3,,1
1422,ALGORITMOS Y ESTRUCTURAS DE DATOS,9,4.5,,1
1423,ANALISIS NUMERICO,7,3.5,,1
1424,MATEMATICAS  AVANZADAS,8,4,,1
1425,PROP. DE LOS FLUIDOS PETROLEROS,9,4.5,,1
1426,QUIMICA PARA INGENIEROS PETROLEROS,10,5,,1
1427,PROGRAMACION Y CONSTRUC. ESTRUCTURA,9,4.5,,1
1428,ENERGIAS RENOVABLES,6,3,,1
1429,ESTRUCTURA Y PROGRAM. DE COMPUTADOR,9,4.5,,1
1430,GEOMATICA PARA CIENCIAS DE LA TIERRA,9,4.5,,1
1431,GEODINAMICA INTERNA,6,3,,1
1432,PALEONTOLOGIA GENERAL,9,4.5,,1
1433,ANALISIS NUMERICO,8,4,,1
1434,BIOLOGIA CELULAR Y TISULAR,6,3,,1
1436,PROBABILIDAD,8,4,,1
1437,TERMODINAMICA,10,5,,1
1438,TECNICAS GEOLOGICAS DE CAMPO,6,3,,1
1439,FLUIDOS DE PERFORACION,5,2.5,,1
143,DISEÑO DE SISTEMAS PRODUCTIVOS,8,4,,1
1440,GEOLOGIA Y GEOQUIMICA DEL PETROLEO,9,4.5,,1
1441,MECANICA DE FLUIDOS,8,4,,1
1442,PROPIEDADES DE LS FLUIDOS PETROLEROS,10,5,,1
1443,ANALISIS DE SISTEMAS Y SEÑALES,10,5,,1
