ID_ESTRUCTURA,ID_PLAN,ID_ASIGNATURA,TIPO,ID_SEMESTRE,LABORATORIO
20401433,2040,1433,OBL,4,0
20401436,2040,1436,OBL,4,0
20401444,2040,1444,OBL,4,0
20401450,2040,1450,OBL,4,0
20401555,2040,1555,OBL,4,0
20400387,2040,0387,OBL,5,0
20400466,2040,0466,OBL,5,0
20401402,2040,1402,OBL,5,0
20401413,2040,1413,OBL,5,0
20401595,2040,1595,OBL,5,0
20401596,2040,1596,OBL,5,0
20401052,2040,1052,OBL,6,0
20401601,2040,1601,OBL,6,0
20401730,2040,1730,OBL,6,0
20401731,2040,1731,OBL,6,0
20402600,2040,2600,OBL,6,0
20402601,2040,2601,OBL,6,0
20400032,2040,0032,OBL,7,0
20400642,2040,0642,OBL,7,0
20401507,2040,1507,OBL,7,0
20401608,2040,1608,OBL,7,0
20401703,2040,1703,OBL,7,0
20401714,2040,1714,OBL,7,0
20400152,2040,0152,OBL,8,0
20400234,2040,0234,OBL,8,0
20400379,2040,0379,OBL,8,0
20402800,2040,2800,OBL,8,0
20402801,2040,2801,OBL,8,0
20402803,2040,2803,OBL,8,0
20400230,2040,0230,OBL,9,0
20400610,2040,0610,OBL,9,0
20401935,2040,1935,OBL,9,0
20402080,2040,2080,OBL,9,0
20402156,2040,2156,OBL,9,0
20402913,2040,2913,OBL,9,0
20401760,2040,1760,OBL,10,0
20402915,2040,2915,OBL,10,0
20402916,2040,2916,OBL,10,0
20401055,2040,1055,OPT,0,0
20401789,2040,1789,OPT,0,0
20401790,2040,1790,OPT,0,0
20401791,2040,1791,OPT,0,0
20401792,2040,1792,OPT,0,0
20401793,2040,1793,OPT,0,0
20401794,2040,1794,OPT,0,0
20401795,2040,1795,OPT,0,0
20401796,2040,1796,OPT,0,0
40571120,4057,1120,OBL,1,0
40571121,4057,1121,OBL,1,0
40571124,4057,1124,OBL,1,0
40571127,4057,1127,OBL,1,0
40571128,4057,1128,OBL,1,0
40571220,4057,1220,OBL,2,0
40571221,4057,1221,OBL,2,0
40571222,4057,1222,OBL,2,0
40571223,4057,1223,OBL,2,0
40571229,4057,1229,OBL,2,0
40571506,4057,1506,OBL,2,0
40570275,4057,0275,OBL,3,0
40571321,4057,1321,OBL,3,0
40571322,4057,1322,OBL,3,0
40571325,4057,1325,OBL,3,0
40571333,4057,1333,OBL,3,0
40571407,4057,1407,OBL,3,0
40570465,4057,0465,OBL,4,0
40571433,4057,1433,OBL,4,0
40571436,4057,1436,OBL,4,0
40571444,4057,1444,OBL,4,0
40571450,4057,1450,OBL,4,0
40571555,4057,1555,OBL,4,0
40570387,4057,0387,OBL,5,0
40570466,4057,0466,OBL,5,0
40571402,4057,1402,OBL,5,0
40571413,4057,1413,OBL,5,0
40571595,4057,1595,OBL,5,0
40571596,4057,1596,OBL,5,0
40571052,4057,1052,OBL,6,0
40571601,4057,1601,OBL,6,0
40571730,4057,1730,OBL,6,0
40571731,4057,1731,OBL,6,0
40572600,4057,2600,OBL,6,0
40572601,4057,2601,OBL,6,0
40570032,4057,0032,OBL,7,0
40570642,4057,0642,OBL,7,0
40571507,4057,1507,OBL,7,0
40571608,4057,1608,OBL,7,0
40571703,4057,1703,OBL,7,0
40571714,4057,1714,OBL,7,0
40570152,4057,0152,OBL,8,0
40570234,4057,0234,OBL,8,0
40570379,4057,0379,OBL,8,0
40572800,4057,2800,OBL,8,0
40572801,4057,2801,OBL,8,0
40572803,4057,2803,OBL,8,0
40570230,4057,0230,OBL,9,0
40570610,4057,0610,OBL,9,0
40571935,4057,1935,OBL,9,0
40572080,4057,2080,OBL,9,0
40572156,4057,2156,OBL,9,0
40572913,4057,2913,OBL,9,0
40571760,4057,1760,OBL,10,0
40572915,4057,2915,OBL,10,0
40572916,4057,2916,OBL,10,0
40570274,4057,0274,OPT,0,0
40572061,4057,2061,OPT,0,0
40572700,4057,2700,OPT,0,0
40573031,4057,3031,OPT,0,0
40573032,4057,3032,OPT,0,0
40573033,4057,3033,OPT,0,0
40573034,4057,3034,OPT,0,0
40573035,4057,3035,OPT,0,0
40573036,4057,3036,OPT,0,0
40573037,4057,3037,OPT,0,0
40573038,4057,3038,OPT,0,0
40573039,4057,3039,OPT,0,0
40573040,4057,3040,OPT,0,0
40573041,4057,3041,OPT,0,0
40573042,4057,3042,OPT,0,0
40573043,4057,3043,OPT,0,0
40573044,4057,3044,OPT,0,0
40573045,4057,3045,OPT,0,0
40573046,4057,3046,OPT,0,0
40573047,4057,3047,OPT,0,0
40573048,4057,3048,OPT,0,0
40573049,4057,3049,OPT,0,0
40573050,4057,3050,OPT,0,0
40573051,4057,3051,OPT,0,0
40573052,4057,3052,OPT,0,0
40573053,4057,3053,OPT,0,0
40573054,4057,3054,OPT,0,0
40573055,4057,3055,OPT,0,0
40573056,4057,3056,OPT,0,0
40573057,4057,3057,OPT,0,0
40573058,4057,3058,OPT,0,0
40573059,4057,3059,OPT,0,0
40573060,4057,3060,OPT,0,0
40573061,4057,3061,OPT,0,0
40573062,4057,3062,OPT,0,0
40573063,4057,3063,OPT,0,0
40571055,4057,1055,OPT,0,0
40571789,4057,1789,OPT,0,0
40571790,4057,1790,OPT,0,0
40571791,4057,1791,OPT,0,0
40571792,4057,1792,OPT,0,0
40571793,4057,1793,OPT,0,0
40571794,4057,1794,OPT,0,0
40571795,4057,1795,OPT,0,0
40571796,4057,1796,OPT,0,0
40573025,4057,3025,OPT,0,0
40573026,4057,3026,OPT,0,0
40573027,4057,3027,OPT,0,0
40573028,4057,3028,OPT,0,0
40573029,4057,3029,OPT,0,0
40573030,4057,3030,OPT,0,0
40581120,4058,1120,OBL,1,0
40581121,4058,1121,OBL,1,0
40581124,4058,1124,OBL,1,0
40581127,4058,1127,OBL,1,0
40581128,4058,1128,OBL,1,0
40581220,4058,1220,OBL,2,0
40581221,4058,1221,OBL,2,0
