ID_PLAN,ID_CARRERA,NOMBRE,CREDITOS_OBLIGATORIOS,CREDITOS_OPTATIVOS,ID_PLAN_BASE,SEMESTRES_CURRICULARES,SEMESTRES_REGLAMENTARIOS,GENERACION
1182,107,ING CIVIL,362,36,,9 ,14,2006
1370,107,INGENIERIA DE SISTEMAS,362,36,,9 ,14,2009
1370,107,ING CIVIL,362,36,,9 ,14,2010
2040,107,INGENIERIA DE SISTEMAS,413,36,,10,15,2016
4057,107,ING CIVIL,413,36,,10,15,2016
4058,107,INGENIERIA DE SISTEMAS,413,36,,10,15,2016
4059,107,ING CIVIL,413,36,,10,15,2016
4060,107,INGENIERIA DE SISTEMAS I,413,36,,10,15,2016
4061,107,INGENIERIA AMBIENTAL I,413,36,,10,15,2016
4062,107,INGENIERIA DE SISTEMAS II,413,36,,10,15,2016
1183,108,ING DE MINAS Y METALURGIA,405,24,,10,15,2006
1402,108,ING DE MINAS Y METALURGIA,405,24,,10,15,2010
2046,108,ING DE MINAS Y METALURGIA,391,36,,10,15,2016
1184,109,ING ELECTRICA Y ELECTRONICA,346,59,,9 ,14,2006
1185,109,ING ELEC ELECTR-ELECTRONICA,346,71,,9 ,14,2006
1186,109,ING ELEC ELECTR-CONTROL Y ROBOTICA,346,65,,9 ,14,2006
1187,109,ING ELEC ELECTR-INGENIERIA BIOMEDICA,346,65,,9 ,14,2006
1188,109,ING ELEC ELECTR-ELECTRICA DE POTENCIA,346,69,,9 ,14,2006
1189,109,ING ELEC ELECTR-SISTEMAS ENERGETICOS,346,59,,9 ,14,2006
1416,109,ING ELECTRICA Y ELECTRONICA,346,59,,9 ,14,2009
1417,109,ING ELEC ELECTR-ELECTRONICA,346,71,,9 ,14,2009
1418,109,ING ELEC ELECTR-CONTROL Y ROBOTICA,346,65,,9 ,14,2009
1419,109,ING ELEC ELECTR-INGENIERIA BIOMEDICA,346,65,,9 ,14,2009
1420,109,ING ELEC ELECTR-ELECTRICA DE POTENCIA,346,69,,9 ,14,2009
1421,109,ING ELEC ELECTR-SISTEMAS ENERGETICOS,346,59,,9 ,14,2009
1416,109,ING ELECTRICA Y ELECTRONICA,346,59,,9 ,14,2010
1417,109,ING ELEC ELECTR-ELECTRONICA,346,71,,9 ,14,2010
1418,109,ING ELEC ELECTR-CONTROL Y ROBOTICA,346,65,,9 ,14,2010
1419,109,ING ELEC ELECTR-INGENIERIA BIOMEDICA,346,65,,9 ,14,2010
1420,109,ING ELEC ELECTR-ELECTRICA DE POTENCIA,346,69,,9 ,14,2010
1421,109,ING ELEC ELECTR-SISTEMAS ENERGETICOS,346,59,,9 ,14,2010
2041,109,ING ELECTRICA ELECTRONICA,414,30,,10,15,2016
4072,109,ING ELEC ELECTR-CONTROL Y ROBOTICA,414,30,,10,15,2016
4073,109,ING ELEC ELECTR-ELECTRICA DE POTENCIA,432,18,,10,15,2016
4074,109,ING ELEC ELECTR-ELECTRONICA,422,24,,10,15,2016
4075,109,ING ELEC ELECTR-INGENIERIA BIOMEDICA,420,24,,10,15,2016
4076,109,INGENIERIA CLINICA,396,50,,10,15,2016
1190,110,ING EN COMPUTACION,360,48,,9 ,14,2006
1191,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2006
1192,110,ING EN COMPUTACION-INGENIERIA DE HARDWARE,360,48,,9 ,14,2006
1193,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2006
1194,110,ING EN COMPUTACION-REDES Y SEGURIDAD,360,48,,9 ,14,2006
1195,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2006
1196,110,ING EN COMPUTACION-BASES DE DATOS,360,48,,9 ,14,2006
1422,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2009
1423,110,ING EN COMPUTACION-INGENIERIA DE SOFTWARE,360,48,,9 ,14,2009
1424,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2009
1425,110,ING EN COMPUTACION-SIST INTELIG Y COMP GRAF,360,48,,9 ,14,2009
1426,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2009
1427,110,ING EN COMPUTACION-INGENIERIA BIOMEDICA,360,48,,9 ,14,2009
1428,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2009
1422,110,ING EN COMPUTACION,360,48,,9 ,14,2010
1423,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2010
1424,110,ING EN COMPUTACION-INGENIERIA DE HARDWARE,360,48,,9 ,14,2010
1425,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2010
1426,110,ING EN COMPUTACION-REDES Y SEGURIDAD,360,48,,9 ,14,2010
1427,110,INGENIERIA DE SOFTWARE,360,48,,9 ,14,2010
1428,110,ING EN COMPUTACION-BASES DE DATOS,360,48,,9 ,14,2010
2044,110,INGENIERIA DE SOFTWARE,384,54,,10,15,2016
4069,110,ING EN COMPUTACION-INGENIERIA DE SOFTWARE,384,54,,10,15,2016
4070,110,INGENIERIA DE SOFTWARE,384,54,,10,15,2016
4071,110,ING EN COMPUTACION-SIST INTELIG Y COMP GRAF,384,54,,10,15,2016
1197,111,ING EN TELECOMUNICACIONES,386,24,,9 ,14,2006
1198,111,ING EN TELECOM-REDES DE TELECOM,386,24,,9 ,14,2006
1199,111,ING EN TELECOM-SEÑ Y SIS RADIOCOM,386,24,,9 ,14,2006
1200,111,ING EN TELECOM-TEC RADIOFREC OPT M,386,24,,9 ,14,2006
1201,111,ING EN TELECOM-ADMINIS Y NORMALI,386,24,,9 ,14,2006
1429,111,ING EN TELECOMUNICACIONES,386,24,,9 ,14,2009
1430,111,ING EN TELECOM-REDES DE TELECOM,386,24,,9 ,14,2009
1431,111,ING EN TELECOM-SEÑ Y SIS RADIOCOM,386,24,,9 ,14,2009
1432,111,ING EN TELECOM-TEC RADIOFREC OPT M,386,24,,9 ,14,2009
1433,111,ING EN TELECOM-ADMINIS Y NORMALI,386,24,,9 ,14,2009
1429,111,ING EN TELECOMUNICACIONES,386,24,,9 ,14,2010
1430,111,ING EN TELECOM-REDES DE TELECOM,386,24,,9 ,14,2010
1431,111,ING EN TELECOM-SEÑ Y SIS RADIOCOM,386,24,,9 ,14,2010
1432,111,ING EN TELECOM-TEC RADIOFREC OPT M,386,24,,9 ,14,2010
1433,111,ING EN TELECOM-ADMINIS Y NORMALI,386,24,,9 ,14,2010
2045,111,ING EN TELECOMUNICACIONES,396,24,,9 ,14,2016
4049,111,ING EN TELECOM-ING.SIST.ESPACIAL Y SUS APLIC.,396,24,,9 ,14,2016
4050,111,ING EN TELECOM-POLIT.REGUL.Y NORMALIZ.TELECOM,396,24,,9 ,14,2016
4051,111,ING EN TELECOM-REDES DE TELECOMUNICACIONES,396,24,,9 ,14,2016
4052,111,ING EN TELECOM-SEÑALES Y SIST.DE RADIOCOMUNIC,396,24,,9 ,14,2016
4053,111,ING EN TELECOM-TEC.RADIOFREC.OPTIC.Y MICROOND,396,24,,9 ,14,2016
1202,112,ING GEOFISICA,402,30,,10,15,2006
1203,112,ING GEOFISICA-EXPLORACION MINERA,402,30,,10,15,2006
1204,112,ING GEOFISICA-SISMOLOGIA,402,30,,10,15,2006
1205,112,ING GEOFISICA-CIENCIAS ATMOSFERICAS,402,30,,10,15,2006
1206,112,ING GEOFISICA-HIDROGEOLOGIA,402,30,,10,15,2006
1207,112,ING GEOFISICA-EXPLORACION PETROLERA,402,30,,10,15,2006
1208,112,ING GEOFISICA-GEOTECNIA,402,30,,10,15,2006
1209,112,ING GEOFISICA-GEOFISICA AMBIENTAL,402,30,,10,15,2006
1403,112,ING GEOFISICA,402,30,,10,15,2010
1404,112,ING GEOFISICA-EXPLORACION MINERA,402,30,,10,15,2010
1405,112,ING GEOFISICA-SISMOLOGIA,402,30,,10,15,2010
1406,112,ING GEOFISICA-CIENCIAS ATMOSFERICAS,402,30,,10,15,2010
1407,112,ING GEOFISICA-HIDROGEOLOGIA,402,30,,10,15,2010
1408,112,ING GEOFISICA-EXPLORACION PETROLERA,402,30,,10,15,2010
1409,112,ING GEOFISICA-GEOTECNIA,402,30,,10,15,2010
1410,112,ING GEOFISICA-GEOFISICA AMBIENTAL,402,30,,10,15,2010
2037,112,ING GEOFISICA,392,58,,10,15,2016
4063,112,ING GEOFISICA - EXPLORACION MINERA,392,58,,10,15,2016
4064,112,ING GEOFISICA - EXPLORACION PETROLERA,392,58,,10,15,2016
4065,112,ING GEOFISICA - GEOFISICA AMBIENTAL,392,58,,10,15,2016
4066,112,ING GEOFISICA - GEOTECNIA,392,58,,10,15,2016
4067,112,ING GEOFISICA - HIDROGEOLOGIA,392,58,,10,15,2016
4068,112,ING GEOFISICA - SISMOLOGIA,392,58,,10,15,2016
1210,113,ING GEOLOGICA,396,18,,9 ,14,2006
1211,113,ING GEOLOGICA - GEOLOGIA PETROLERA,396,18,,9 ,14,2006
1212,113,ING GEOLOGICA - GEOTECNIA,396,18,,9 ,14,2006
1213,113,ING GEOLOGICA - GEOLOGIA MINERA,396,18,,9 ,14,2006
1214,113,ING GEOLOGICA - HIDROGEOLOGIA Y GEOLOGIA AM,396,18,,9 ,14,2006
1411,113,ING GEOLOGICA,396,18,,9 ,14,2010
1412,113,ING GEOLOGICA - GEOLOGIA PETROLERA,396,18,,9 ,14,2010
1413,113,ING GEOLOGICA - GEOTECNIA,396,18,,9 ,14,2010
1414,113,ING GEOLOGICA - GEOLOGIA MINERA,396,18,,9 ,14,2010
1415,113,ING GEOLOGICA - HIDROGEOLOGIA Y GEOLOGIA AM,396,18,,9 ,14,2010
2032,113,ING GEOLOGICA,407,24,,10,15,2016
1215,114,ING INDUSTRIAL,388,24,,9 ,14,2006
1368,114,INGENIERIA INDUS.PRODUCTIVID,388,24,,9 ,14,2009
1368,114,INGENIERIA ECONOMICA,388,24,,9 ,14,2010
2042,114,INGENIERIA AUTOMOTRIZ,412,36,,10,15,2016
4054,114,ING INDUSTRIAL,412,36,,10,15,2016
4055,114,INGENIERIA INDUS.PRODUCTIVID,412,36,,10,15,2016
4056,114,INGENIERIA ECONOMICA,412,36,,10,15,2016
1218,115,ING MECANICA,360,46,,9 ,14,2006
1434,115,INGENIERIA DE PROCESOS INDUSTRIALES,360,46,,9 ,14,2009
1434,115,INGENIERIA AUTOMOTRIZ,360,46,,9 ,14,2010
2043,115,INGENIERIA DE DISEÑO,348,86,,10,15,2016
4045,115,INGENIERIA DE SUPERFICIES,386,48,,10,15,2016
4046,115,ING MECANICA,392,42,,10,15,2016
4047,115,INGENIERIA DE PROCESOS INDUSTRIALES,378,56,,10,15,2016
4048,115,INGENIERIA AUTOMOTRIZ,370,64,,10,15,2016
1223,117,ING PETROLERA,411,12,,9 ,14,2006
1369,117,INGENIERIA DE PERFORACION DE POZOS,411,12,,9 ,14,2009
1369,117,INGENIERIA DE YACIMIENTOS DE GAS,411,12,,9 ,14,2010
2035,117,INGENIER. PRODUCC. DE GAS NATURAL,422,28,,10,15,2016
1224,124,ING MECATRONICA,367,54,,10,15,2006
1435,124,INGENIERIA DE MATERIALES,367,54,,10,15,2009
1435,124,INGENIERIA DE MANUFACTURA,367,54,,10,15,2010
2038,124,INGENIERIA DE DISEÑO,388,60,,10,15,2016
1181,125,ING GEOMATICA,337,16,,8 ,12,2006
1367,125,ING GEOMATICA,337,16,,8 ,12,2009
1367,125,ING GEOMATICA,337,16,,8 ,12,2010
